OBJECTID,ROW_TYPE,GEOGRAPHY,GEOGRAPHY_ID,CALENDAR_YEAR,CALENDAR_MONTH,OFFENSE_DESCRIPTION,OFFENSE_COUNT
23815,Neighborhood Profile Area,173,173,2016,02,Aggravated Assault-Knife,1
23818,Neighborhood Profile Area,114,114,2016,07,Aggravated Assault-Knife,3
23844,Neighborhood Profile Area,385,385,2016,03,"Aggravated Assault-Fists,Feet, etc.",1
23880,Neighborhood Profile Area,266,266,2016,06,Aggravated Assault-Other Weapon,2
23881,Neighborhood Profile Area,294,294,2016,10,Aggravated Assault-Knife,2
23882,Neighborhood Profile Area,124,124,2016,08,Aggravated Assault-Gun,1
23888,Neighborhood Profile Area,361,361,2016,12,Aggravated Assault-Other Weapon,1
23889,Neighborhood Profile Area,6,6,2016,12,Aggravated Assault-Knife,1
23914,Neighborhood Profile Area,383,383,2016,06,"Aggravated Assault-Fists,Feet, etc.",1
23924,Neighborhood Profile Area,368,368,2016,09,Aggravated Assault-Gun,2
23933,Neighborhood Profile Area,128,128,2016,11,Aggravated Assault-Knife,1
23963,Neighborhood Profile Area,125,125,2016,10,Aggravated Assault-Other Weapon,1
23974,Neighborhood Profile Area,10,10,2016,10,Aggravated Assault-Gun,1
23992,Neighborhood Profile Area,197,197,2016,11,Aggravated Assault-Gun,3
23993,Neighborhood Profile Area,374,374,2016,06,Aggravated Assault-Other Weapon,1
24017,Neighborhood Profile Area,186,186,2016,09,Aggravated Assault-Gun,1
24022,Neighborhood Profile Area,245,245,2016,03,Aggravated Assault-Knife,1
24045,Neighborhood Profile Area,279,279,2016,12,Aggravated Assault-Gun,5
24047,Neighborhood Profile Area,2,2,2016,11,Aggravated Assault-Knife,1
24054,Neighborhood Profile Area,384,384,2016,06,Aggravated Assault-Gun,3
24058,Neighborhood Profile Area,229,229,2016,10,Aggravated Assault-Gun,2
24068,Neighborhood Profile Area,160,160,2016,04,Aggravated Assault-Gun,1
24078,Neighborhood Profile Area,365,365,2016,07,Aggravated Assault-Gun,2
24119,Neighborhood Profile Area,197,197,2016,01,Aggravated Assault-Gun,1
24124,Neighborhood Profile Area,279,279,2016,05,Aggravated Assault-Knife,1
24149,Neighborhood Profile Area,277,277,2016,03,Aggravated Assault-Knife,1
24166,Neighborhood Profile Area,283,283,2016,04,Aggravated Assault-Knife,2
24176,Neighborhood Profile Area,234,234,2016,07,Aggravated Assault-Other Weapon,1
24187,Neighborhood Profile Area,382,382,2016,09,Aggravated Assault-Gun,1
24200,Neighborhood Profile Area,296,296,2016,06,Aggravated Assault-Gun,1
24206,Neighborhood Profile Area,165,165,2016,06,Aggravated Assault-Gun,1
24215,Neighborhood Profile Area,195,195,2016,09,Aggravated Assault-Gun,3
24217,Neighborhood Profile Area,310,310,2016,03,Aggravated Assault-Knife,1
24234,Neighborhood Profile Area,363,363,2016,07,Aggravated Assault-Gun,2
24238,Neighborhood Profile Area,103,103,2016,02,Aggravated Assault-Knife,1
24239,Neighborhood Profile Area,46,46,2016,08,Aggravated Assault-Knife,1
24242,Neighborhood Profile Area,85,85,2016,05,Aggravated Assault-Other Weapon,1
24244,Neighborhood Profile Area,254,254,2016,11,Aggravated Assault-Other Weapon,1
24245,Neighborhood Profile Area,314,314,2016,04,Aggravated Assault-Knife,1
24258,Neighborhood Profile Area,385,385,2016,03,Aggravated Assault-Other Weapon,1
24261,Neighborhood Profile Area,280,280,2016,03,Aggravated Assault-Other Weapon,1
24267,Neighborhood Profile Area,88,88,2016,06,Aggravated Assault-Other Weapon,3
24268,Neighborhood Profile Area,382,382,2016,04,Aggravated Assault-Other Weapon,1
24269,Neighborhood Profile Area,69,69,2016,03,Aggravated Assault-Knife,1
